ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block
570,0.017009,27.05766,26.13826,False,0
571,0.0159809,26.94958,26.11485,False,0
572,0.01645502,26.74526,26.03194,False,0
573,0.01656698,26.44907,25.91146,False,0
574,0.01696258,26.25689,25.80293,False,0
575,0.01617069,26.10777,25.75332,False,0
576,0.01681785,25.89579,25.66912,False,0
577,0.01631473,25.63699,25.59063,False,0
578,0.01668405,25.40834,25.51475,False,0
579,0.01698716,25.28092,25.45873,False,0
580,0.01602903,25.14238,25.39565,False,0
581,0.01695985,25.07172,25.34661,False,0
582,0.01617273,25.02511,25.25715,False,0
583,0.0168298,24.95128,25.19806,False,0
584,0.01630346,24.89662,25.14174,False,0
585,0.01667552,24.82629,25.09772,False,0
586,0.01700627,24.73116,25.05264,False,0
587,0.01601777,24.67576,24.91784,False,0
588,0.01656732,24.5948,24.8618,False,0
589,0.01656732,24.53466,24.79015,False,0
590,0.01656629,24.50848,24.75193,False,0
591,0.01656732,24.47926,24.68031,False,0
592,0.01666903,23.62411,23.79033,False,0
593,0.01646389,12.9679,15.27455,False,0
594,0.01656663,9.562812,12.01144,False,0
595,0.01695166,14.48594,15.40566,False,0
596,0.01618297,17.35599,18.56032,False,0
597,0.01681069,24.67726,27.24075,False,0
598,0.01699432,26.46716,29.67597,False,0
599,0.01600651,29.35981,33.11837,False,0
600,0.01645331,31.12556,34.60817,False,0
601,0.01656629,31.02092,34.56379,False,0
602,0.01696531,31.04522,34.50303,False,0
603,0.0169933,30.96155,34.415,False,0
604,0.01574265,30.86235,34.3567,False,0
605,0.01724691,30.77972,34.34433,False,0
606,0.01599422,30.64476,34.29943,False,0
607,0.01699535,30.53075,34.29133,False,0
608,0.01602869,30.35078,34.18389,False,0
609,0.01656766,30.28577,34.02769,False,0
610,0.01656629,30.33578,33.95502,False,0
611,0.01680215,30.31688,33.87187,False,0
612,0.01633111,30.30064,33.79174,False,0
613,0.01665675,30.27683,33.67923,False,0
614,0.01701139,30.32507,33.5948,False,0
615,0.01603176,30.2964,33.50069,False,0
616,0.01656698,30.25619,33.4173,False,0
617,0.01656663,30.21541,33.32516,False,0
618,0.01681034,30.23952,33.29795,False,0
619,0.01632258,30.21562,33.25751,False,0
620,0.01665197,30.18793,33.15986,False,0
621,0.01648164,30.13816,32.88828,False,0
622,0.01656698,30.09479,32.73637,False,0
623,0.01656698,30.05179,32.661,False,0
624,0.01656698,30.01296,32.57026,False,0
625,0.01680557,29.95167,32.51086,False,0
